topology,algorithm,link sec ratio,num of calls,load,round,block_rate(t),block_rate(0),block_rate(1),block_rate(2),hop,link utilization,overused bw,security deviation (t),security deviation (0),security deviation (1),security deviation (2),exposure ratio(t),exposure ratio(0),exposure ratio(1),exposure ratio(2)
NSFNET,    CF_STC,   0.600, 10000.000,   50.000,    1.000,    1.700,    0.000,    0.000,    5.714,    3.626,    8.571, 50620.000,    0.194,    0.454,    0.023,    0.000,   32.535,   78.552,    0.645,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,   50.000,    2.000,    1.610,    0.000,    0.000,    5.385,    3.634,    8.323, 51110.000,    0.197,    0.458,    0.025,    0.000,   32.512,   78.255,    0.681,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,   50.000,    3.000,    1.570,    0.000,    0.000,    5.261,    3.620,    8.603, 50110.000,    0.192,    0.454,    0.023,    0.000,   32.243,   78.706,    0.638,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,   50.000,    4.000,    1.710,    0.000,    0.000,    5.731,    3.621,    8.287, 49040.000,    0.190,    0.449,    0.026,    0.000,   32.123,   78.758,    0.726,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,   50.000,    5.000,    1.710,    0.000,    0.000,    5.632,    3.592,    8.862, 48960.000,    0.190,    0.453,    0.021,    0.000,   32.021,   78.653,    0.568,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,   50.000,    6.000,    1.530,    0.000,    0.000,    5.112,    3.602,    8.485, 49010.000,    0.189,    0.453,    0.022,    0.000,   31.936,   78.773,    0.624,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,   50.000,    7.000,    1.550,    0.000,    0.000,    5.094,    3.595,    8.209, 48540.000,    0.188,    0.454,    0.023,    0.000,   31.522,   78.654,    0.636,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,   50.000,    8.000,    1.360,    0.000,    0.000,    4.450,    3.585,    8.457, 47470.000,    0.185,    0.450,    0.024,    0.000,   31.221,   78.612,    0.657,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,   50.000,    9.000,    1.590,    0.000,    0.000,    5.343,    3.623,    8.561, 49520.000,    0.188,    0.451,    0.021,    0.000,   31.820,   78.489,    0.556,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,   50.000,   10.000,    1.720,    0.000,    0.000,    5.791,    3.607,    8.340, 49820.000,    0.193,    0.454,    0.023,    0.000,   32.466,   78.576,    0.624,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  100.000,    1.000,    1.820,    0.000,    0.000,    5.993,    3.648,   18.357, 50850.000,    0.198,    0.459,    0.026,    0.000,   32.700,   78.458,    0.702,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  100.000,    2.000,    1.610,    0.000,    0.000,    5.480,    3.635,   17.044, 50930.000,    0.197,    0.457,    0.025,    0.000,   32.743,   78.364,    0.660,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  100.000,    3.000,    1.500,    0.000,    0.000,    5.013,    3.633,   16.652, 51150.000,    0.198,    0.456,    0.024,    0.000,   33.034,   78.583,    0.669,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  100.000,    4.000,    1.500,    0.000,    0.000,    5.025,    3.605,   17.161, 48950.000,    0.189,    0.450,    0.025,    0.000,   31.984,   78.743,    0.672,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  100.000,    5.000,    1.660,    0.000,    0.000,    5.489,    3.626,   16.983, 50010.000,    0.193,    0.458,    0.023,    0.000,   32.054,   78.505,    0.639,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  100.000,    6.000,    1.710,    0.000,    0.000,    5.605,    3.638,   17.072, 49650.000,    0.191,    0.455,    0.022,    0.000,   32.085,   78.753,    0.595,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  100.000,    7.000,    1.770,    0.000,    0.000,    5.737,    3.617,   16.849, 50100.000,    0.192,    0.460,    0.021,    0.000,   31.667,   78.158,    0.580,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  100.000,    8.000,    1.700,    0.000,    0.000,    5.624,    3.604,   17.852, 49910.000,    0.193,    0.456,    0.022,    0.000,   32.336,   78.554,    0.596,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  100.000,    9.000,    1.460,    0.000,    0.000,    4.903,    3.624,   16.694, 49370.000,    0.191,    0.455,    0.024,    0.000,   31.909,   78.535,    0.687,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  100.000,   10.000,    1.720,    0.000,    0.000,    5.650,    3.596,   17.890, 48300.000,    0.186,    0.451,    0.023,    0.000,   31.441,   78.805,    0.621,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  150.000,    1.000,    1.660,    0.000,    0.000,    5.548,    3.654,   26.144, 50790.000,    0.195,    0.455,    0.024,    0.000,   32.729,   78.573,    0.676,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  150.000,    2.000,    1.720,    0.000,    0.000,    5.737,    3.617,   27.099, 50200.000,    0.194,    0.454,    0.023,    0.000,   32.691,   78.909,    0.632,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  150.000,    3.000,    1.670,    0.000,    0.000,    5.636,    3.606,   25.211, 50620.000,    0.195,    0.456,    0.025,    0.000,   32.380,   78.416,    0.686,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  150.000,    4.000,    1.500,    0.000,    0.000,    5.112,    3.612,   25.665, 50210.000,    0.192,    0.449,    0.022,    0.000,   32.784,   79.013,    0.604,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  150.000,    5.000,    1.630,    0.000,    0.000,    5.388,    3.616,   25.004, 49110.000,    0.190,    0.452,    0.022,    0.000,   32.195,   78.825,    0.602,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  150.000,    6.000,    1.750,    0.000,    0.000,    5.855,    3.612,   25.281, 50230.000,    0.194,    0.452,    0.022,    0.000,   32.859,   78.965,    0.601,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  150.000,    7.000,    1.760,    0.000,    0.000,    5.934,    3.610,   25.572, 48640.000,    0.189,    0.446,    0.024,    0.000,   32.358,   78.950,    0.661,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  150.000,    8.000,    1.560,    0.000,    0.000,    5.039,    3.606,   26.083, 49280.000,    0.189,    0.455,    0.023,    0.000,   31.613,   78.372,    0.629,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  150.000,    9.000,    1.500,    0.000,    0.000,    4.977,    3.610,   24.239, 50010.000,    0.194,    0.455,    0.024,    0.000,   32.401,   78.577,    0.656,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  150.000,   10.000,    1.770,    0.000,    0.000,    5.954,    3.603,   26.261, 49810.000,    0.192,    0.448,    0.022,    0.000,   32.890,   78.996,    0.610,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  200.000,    1.000,    1.560,    0.000,    0.000,    5.230,    3.612,   34.627, 50070.000,    0.195,    0.456,    0.023,    0.000,   32.644,   78.646,    0.666,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  200.000,    2.000,    1.710,    0.000,    0.000,    5.700,    3.595,   32.530, 49020.000,    0.188,    0.448,    0.023,    0.000,   32.065,   79.170,    0.646,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  200.000,    3.000,    1.670,    0.000,    0.000,    5.565,    3.601,   33.019, 49750.000,    0.193,    0.457,    0.025,    0.000,   32.068,   78.595,    0.680,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  200.000,    4.000,    1.420,    0.000,    0.000,    4.708,    3.592,   33.286, 49660.000,    0.189,    0.447,    0.024,    0.000,   32.361,   79.102,    0.665,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  200.000,    5.000,    1.560,    0.000,    0.000,    5.253,    3.623,   32.858, 48930.000,    0.188,    0.448,    0.022,    0.000,   32.246,   79.203,    0.592,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  200.000,    6.000,    1.670,    0.000,    0.000,    5.640,    3.609,   33.171, 48940.000,    0.189,    0.449,    0.022,    0.000,   32.263,   78.892,    0.603,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  200.000,    7.000,    1.680,    0.000,    0.000,    5.397,    3.646,   32.499, 50340.000,    0.193,    0.458,    0.024,    0.000,   32.252,   78.857,    0.634,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  200.000,    8.000,    1.810,    0.000,    0.000,    6.013,    3.622,   35.221, 49680.000,    0.192,    0.453,    0.023,    0.000,   32.444,   78.820,    0.630,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  200.000,    9.000,    1.660,    0.000,    0.000,    5.554,    3.623,   33.544, 50320.000,    0.193,    0.461,    0.023,    0.000,   31.749,   78.152,    0.620,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  200.000,   10.000,    1.590,    0.000,    0.000,    5.515,    3.629,   32.514, 49440.000,    0.191,    0.448,    0.025,    0.000,   32.493,   78.945,    0.675,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  250.000,    1.000,    1.860,    0.000,    0.000,    6.147,    3.623,   42.468, 50370.000,    0.194,    0.457,    0.024,    0.000,   32.225,   78.193,    0.652,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  250.000,    2.000,    1.650,    0.000,    0.000,    5.522,    3.615,   43.452, 49270.000,    0.191,    0.453,    0.021,    0.000,   32.134,   78.384,    0.547,    0.000
