topology,algorithm,algorithm_config_name,calls,load,seed,blocking_rate,expected_security_exposure,total_security_cost,accepted,blocked,accepted_secure,blocked_secure
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,1.0,37,0.1,6.1875,13.06060606060606,90,10,66,10
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,1.0,37,0.19,1.125,13.859649122807017,81,19,57,19
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,1.0,37,0.1,6.0625,13.393939393939394,90,10,66,10
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,1.0,35,0.08,5.5,12.666666666666666,92,8,60,7
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,1.0,35,0.14,1.3125,13.433962264150944,86,14,53,14
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,1.0,35,0.08,5.1875,13.166666666666666,92,8,60,7
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,1.0,9,0.04,5.6875,11.746478873239436,96,4,71,2
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,1.0,9,0.12,0.75,13.492063492063492,88,12,63,10
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,1.0,9,0.04,5.8125,12.028169014084508,96,4,71,2
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,1.0,65,0.15,3.625,12.218181818181819,85,15,55,10
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,1.0,65,0.2,0.6875,13.53191489361702,80,20,47,18
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,1.0,65,0.14,3.6875,13.163636363636364,86,14,55,10
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,1.0,26,0.08,4.9375,14.233333333333333,92,8,60,7
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,1.0,26,0.09,0.625,14.135593220338983,91,9,59,8
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,1.0,26,0.1,4.4375,14.517241379310345,90,10,58,9
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,1.0,34,0.07,4.375,11.859649122807017,93,7,57,7
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,1.0,34,0.11,1.875,13.245283018867925,89,11,53,11
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,1.0,34,0.07,4.3125,12.31578947368421,93,7,57,7
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,1.0,73,0.15,3.9375,13.927272727272728,85,15,55,12
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,1.0,73,0.19,0.875,14.12,81,19,50,17
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,1.0,73,0.15,3.9375,14.327272727272728,85,15,55,12
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,1.0,45,0.09,4.3125,12.285714285714286,91,9,63,8
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,1.0,45,0.18,1.25,16.48148148148148,82,18,54,17
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,1.0,45,0.09,4.5,12.793650793650794,91,9,63,8
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,1.0,90,0.05,4.4375,11.737704918032787,95,5,61,5
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,1.0,90,0.11,1.0625,13.89090909090909,89,11,55,11
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,1.0,90,0.05,4.25,12.098360655737705,95,5,61,5
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,1.0,62,0.1,5.1875,13.152542372881356,90,10,59,8
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,1.0,62,0.09,1.6875,13.862068965517242,91,9,58,9
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,1.0,62,0.1,5.1875,13.288135593220339,90,10,59,8
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,2.0,37,0.21,3.4375,15.192982456140351,79,21,57,19
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,2.0,37,0.32,1.3125,16.869565217391305,68,32,46,30
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,2.0,37,0.21,3.0625,16.45614035087719,79,21,57,19
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,2.0,35,0.2,4.625,15.020408163265307,80,20,49,18
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,2.0,35,0.29,0.875,16.256410256410255,71,29,39,28
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,2.0,35,0.2,3.5,17.020408163265305,80,20,49,18
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,2.0,9,0.16,4.625,14.0,84,16,58,15
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,2.0,9,0.28,1.0625,15.875,72,28,48,25
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,2.0,9,0.16,4.125,14.620689655172415,84,16,58,15
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,2.0,65,0.21,3.8125,14.0,79,21,50,15
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,2.0,65,0.34,0.5625,16.055555555555557,66,34,36,29
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,2.0,65,0.21,3.4375,14.244897959183673,79,21,49,16
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,2.0,26,0.2,2.75,14.125,80,20,48,19
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,2.0,26,0.25,1.0,14.954545454545455,75,25,44,23
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,2.0,26,0.27,1.8125,18.19047619047619,73,27,42,25
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,2.0,34,0.24,3.125,13.866666666666667,76,24,45,19
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,2.0,34,0.3,1.0625,15.435897435897436,70,30,39,25
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,2.0,34,0.24,3.0,15.2,76,24,45,19
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,2.0,73,0.24,3.6875,15.565217391304348,76,24,46,21
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,2.0,73,0.29,0.9375,15.414634146341463,71,29,41,26
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,2.0,73,0.24,3.4375,15.608695652173912,76,24,46,21
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,2.0,45,0.2,6.0,14.60377358490566,80,20,53,18
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,2.0,45,0.28,0.75,17.244444444444444,72,28,45,26
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,2.0,45,0.22,6.0625,14.716981132075471,78,22,53,18
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,2.0,90,0.14,4.25,14.30188679245283,86,14,53,13
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,2.0,90,0.22,1.4375,14.045454545454545,78,22,44,22
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,2.0,90,0.14,4.125,14.90566037735849,86,14,53,13
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,2.0,62,0.2,5.0,13.660377358490566,80,20,53,14
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,2.0,62,0.24,1.5,18.956521739130434,76,24,46,21
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,2.0,62,0.2,4.75,13.807692307692308,80,20,52,15
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,3.0,37,0.32,4.375,16.625,68,32,48,28
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,3.0,37,0.4,1.25,15.9,60,40,40,36
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,3.0,37,0.28,3.625,17.24,72,28,50,26
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,3.0,35,0.32,1.75,13.567567567567568,68,32,37,30
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,3.0,35,0.37,1.4375,16.3125,63,37,32,35
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,3.0,35,0.41,1.375,16.75862068965517,59,41,29,38
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,3.0,9,0.2,6.125,13.559322033898304,80,20,59,14
